chr,start,stop,strand,Name,Location,Lev. Dist.,Gene,Annot.,Pool,MAR,Tier,Tier_Final,Site Type,Origin,Avg. % On-Target UMI,orig_chr,orig_start,orig_stop,orig_strand,orig_Name
chr3,93470553,93470572,-,Tier3_1,chr3:93470553-93470572(-),7,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,10.945,chr3,93470553,93470572,-,Tier3_1
chr22,50808156,50808175,+,Tier3_2,chr22:50808156-50808175(+),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,2.088,chr22,50808156,50808175,+,Tier3_2
chr5,49661619,49661713,-,Tier3_4__Tier6_8922,chr5:49661619-49661638(-);chr5:49661694-49661713(-),9;8,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.876;0.001,chr5,49661619;49661694,49661638;49661713,-,Tier3_4;Tier6_8922
chr1,125180105,125180124,+,Tier3_5,chr1:125180105-125180124(+),7,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.875,chr1,125180105,125180124,+,Tier3_5
chr16,46390591,46390610,+,Tier3_6,chr16:46390591-46390610(+),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.845,chr16,46390591,46390610,+,Tier3_6
chr5,49658785,49658852,-,Tier3_7__Tier6_7922__Tier6_612,chr5:49658785-49658804(-);chr5:49658804-49658823(-);chr5:49658833-49658852(-),9;10;10,none,Intergenic,NONE,Low,3;6;6,3,OFF,UNCOVERseq,0.765;0.002;0.015,chr5,49658785;49658804;49658833,49658804;49658823;49658852,-,Tier3_7;Tier6_7922;Tier6_612
chrY,11721857,11721873,+,Tier3_8,chrY:11721857-11721873(+),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.726,chrY,11721857,11721873,+,Tier3_8
chr10,49538983,49539002,+,Tier3_9,chr10:49538983-49539002(+),9,ERCC6,Exon,NONE,High,3,3,OFF,UNCOVERseq,0.717,chr10,49538983,49539002,+,Tier3_9
chr5,49601478,49601497,+,Tier3_10,chr5:49601478-49601497(+),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.588,chr5,49601478,49601497,+,Tier3_10
chr5,49601986,49602080,+,Tier3_11__Tier6_268,chr5:49601986-49602005(+);chr5:49602061-49602080(+),7;9,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.547;0.03,chr5,49601986;49602061,49602005;49602080,+,Tier3_11;Tier6_268
chr4,49149881,49149900,-,Tier5_12,chr4:49149881-49149900(-),9,none,Intergenic,NONE,Low,5,5,OFF,UNCOVERseq,0.504,chr4,49149881,49149900,-,Tier5_12
chr16,46387969,46388086,-,Tier6_1363__Tier3_13,chr16:46387969-46387988(-);chr16:46388067-46388086(-),9;8,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.009;0.412,chr16,46387969;46388067,46387988;46388086,-,Tier6_1363;Tier3_13
chr4,49149452,49149570,-,Tier5_21__Tier3_14,chr4:49149452-49149471(-);chr4:49149551-49149570(-),10;8,none,Intergenic,NONE,Low,5;3,3,OFF,UNCOVERseq,0.313;0.398,chr4,49149452;49149551,49149471;49149570,-,Tier5_21;Tier3_14
