chr	start	stop	strand	Site Type
chr12	111518253	111518272	-	ON
chr6	62723289	62723308	-	OFF
chr3	174307833	174307852	+	OFF
chr18	21263829	21263848	+	OFF
chr6	70563994	70564013	-	OFF
chr12	88184372	88184391	-	OFF
chr12	29152440	29152459	-	OFF
chr12	131791053	131791072	+	OFF
chr4	27591312	27591331	-	OFF
chr12	111519174	111519194	-	OFF
chr2	48005674	48005693	-	OFF
chr12	111518800	111518820	-	OFF
chr17	26885600	26885620	+	OFF
chr5	49600300	49600320	+	OFF
chr4	49710200	49710220	+	OFF
chr17	26619400	26619420	-	OFF
