chr,start,stop,strand,Name,Location,Lev. Dist.,Gene,Annot.,Pool,MAR,Tier,Tier_Final,Site Type,Origin,Avg. % On-Target UMI,orig_chr,orig_start,orig_stop,orig_strand,orig_Name
chr1,10647426,10647444,+,Tier3_409,chr1:10647426-10647444(+),6,CASZ1,Exon,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr1,10647426,10647444,+,Tier3_409
chr1,11637006,11637025,+,Tier6_196,chr1:11637006-11637025(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.006,chr1,11637006,11637025,+,Tier6_196
chr1,13956629,13956647,-,Tier3_494,chr1:13956629-13956647(-),6,KAZN,Other,NONE,High,3,3,OFF,UNCOVERseq,0.003,chr1,13956629,13956647,-,Tier3_494
chr1,14077620,14077639,+,Tier3_579,chr1:14077620-14077639(+),6,KAZN,Other,NONE,High,3,3,OFF,UNCOVERseq,0.002,chr1,14077620,14077639,+,Tier3_579
chr1,17094261,17094280,-,Tier3_276,chr1:17094261-17094280(-),6,PADI2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr1,17094261,17094280,-,Tier3_276
chr1,26190575,26190593,+,Tier3_632,chr1:26190575-26190593(+),6,CATSPER4,Exon,NONE,Med.,3,3,OFF,UNCOVERseq,0.001,chr1,26190575,26190593,+,Tier3_632
chr1,26398337,26398356,-,Tier6_559,chr1:26398337-26398356(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr1,26398337,26398356,-,Tier6_559
chr1,47095923,47095942,+,Tier6_322,chr1:47095923-47095942(+),6,CYP4Z1,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.005,chr1,47095923,47095942,+,Tier6_322
chr1,49410612,49410633,+,Tier6_342,chr1:49410612-49410633(+),6,AGBL4,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.004,chr1,49410612,49410633,+,Tier6_342
chr1,60163868,60163887,-,Tier6_384,chr1:60163868-60163887(-),6,LINC02778,Other,NONE,Low,6,6,OFF,UNCOVERseq,0.004,chr1,60163868,60163887,-,Tier6_384
chr1,70710971,70710990,-,Tier6_320,chr1:70710971-70710990(-),5,LINC01788,Other,NONE,Med.,6,6,OFF,UNCOVERseq,0.005,chr1,70710971,70710990,-,Tier6_320
chr1,79708027,79708046,-,Tier6_343,chr1:79708027-79708046(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.004,chr1,79708027,79708046,-,Tier6_343
chr1,80966441,80966460,+,Tier6_70,chr1:80966441-80966460(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.01,chr1,80966441,80966460,+,Tier6_70
chr1,81442136,81442154,-,Tier6_446,chr1:81442136-81442154(-),6,ADGRL2,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.003,chr1,81442136,81442154,-,Tier6_446
chr1,91864788,91864807,-,Tier6_246,chr1:91864788-91864807(-),6,TGFBR3,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.005,chr1,91864788,91864807,-,Tier6_246
chr1,99233530,99233546,-,Tier6_444,chr1:99233530-99233546(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr1,99233530,99233546,-,Tier6_444
chr1,101590282,101590301,+,Tier6_206,chr1:101590282-101590301(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.006,chr1,101590282,101590301,+,Tier6_206
chr1,110898718,110898737,+,Tier6_169,chr1:110898718-110898737(+),5,CD53,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.007,chr1,110898718,110898737,+,Tier6_169
chr1,111253841,111253859,+,Tier6_645,chr1:111253841-111253859(+),5,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.001,chr1,111253841,111253859,+,Tier6_645
chr1,143217498,143217516,-,Tier6_344,chr1:143217498-143217516(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.004,chr1,143217498,143217516,-,Tier6_344
chr1,163562562,163562581,+,Tier6_607,chr1:163562562-163562581(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr1,163562562,163562581,+,Tier6_607
chr1,164019441,164019460,+,Tier6_443,chr1:164019441-164019460(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr1,164019441,164019460,+,Tier6_443
chr1,168144492,168144511,+,Tier3_16,chr1:168144492-168144511(+),2,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.027,chr1,168144492,168144511,+,Tier3_16
chr1,173967902,173967921,-,Tier3_34,chr1:173967902-173967921(-),2,RC3H1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.018,chr1,173967902,173967921,-,Tier3_34
chr1,205749247,205749265,-,Tier6_566,chr1:205749247-205749265(-),6,NUCKS1,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.002,chr1,205749247,205749265,-,Tier6_566
chr1,217085851,217085870,+,Tier3_427,chr1:217085851-217085870(+),6,ESRRG,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr1,217085851,217085870,+,Tier3_427
