final_name	chr	start	stop	strand	prioritized	rank	sources_present	component_sources	component_names
Insilico_pop6189	chr1	911646	911664	+	N		insilico_pop	insilico_pop	Insilico_pop6189
Insilico_pop150	chr1	1319640	1319661	+	N		insilico_pop	insilico_pop	Insilico_pop150
Insilico_pop4571	chr1	1508145	1508166	+	N		insilico_pop	insilico_pop	Insilico_pop4571
Insilico_pop8676	chr1	1749171	1749185	+	N		insilico_pop	insilico_pop	Insilico_pop8676
Insilico_ref6340	chr1	1782175	1782194	+	N		insilico_ref	insilico_ref	Insilico_ref6340
Insilico_pop3684	chr1	1951491	1951508	-	N		insilico_pop	insilico_pop	Insilico_pop3684
Insilico_ref7856__Insilico_pop3477	chr1	3097214	3097234	-	N		insilico_pop;insilico_ref	insilico_ref;insilico_pop	Insilico_ref7856;Insilico_pop3477
Insilico_pop2855__Insilico_pop3689	chr1	3181785	3181827	-	N		insilico_pop	insilico_pop;insilico_pop	Insilico_pop2855;Insilico_pop3689
Insilico_ref5433	chr1	3214138	3214157	+	N		insilico_ref	insilico_ref	Insilico_ref5433
Insilico_pop2856	chr1	3232047	3232065	-	N		insilico_pop	insilico_pop	Insilico_pop2856
Insilico_pop3478	chr1	3297230	3297247	+	N		insilico_pop	insilico_pop	Insilico_pop3478
Insilico_pop2857	chr1	3436305	3436319	-	N		insilico_pop	insilico_pop	Insilico_pop2857
Insilico_pop3479	chr1	3623796	3623813	-	N		insilico_pop	insilico_pop	Insilico_pop3479
Insilico_pop5216	chr1	3940857	3940875	-	N		insilico_pop	insilico_pop	Insilico_pop5216
Insilico_pop6185	chr1	4017222	4017237	-	N		insilico_pop	insilico_pop	Insilico_pop6185
Insilico_ref4294	chr1	4180126	4180144	+	N		insilico_ref	insilico_ref	Insilico_ref4294
Insilico_pop6986	chr1	4492878	4492896	+	N		insilico_pop	insilico_pop	Insilico_pop6986
Insilico_ref9426	chr1	4605706	4605725	-	N		insilico_ref	insilico_ref	Insilico_ref9426
Insilico_pop155	chr1	4780324	4780341	-	N		insilico_pop	insilico_pop	Insilico_pop155
Insilico_pop8253	chr1	4989623	4989637	-	N		insilico_pop	insilico_pop	Insilico_pop8253
Insilico_ref6250	chr1	5056646	5056667	+	N		insilico_ref	insilico_ref	Insilico_ref6250
Insilico_pop6987	chr1	5074561	5074579	+	N		insilico_pop	insilico_pop	Insilico_pop6987
