chr,start,stop,strand,Name,Location,Lev. Dist.,Gene,Annot.,Pool,MAR,Tier,Tier_Final,Site Type,Origin,Avg. % On-Target UMI,orig_chr,orig_start,orig_stop,orig_strand,orig_Name
chr12,111518253,111518272,-,OnT,chr12:111518253-111518272(-),1,ATXN2,Exon,NONE,High,1,1,ON,UNCOVERseq,100,chr12,111518253,111518272,-,OnT
chr6,62723289,62723308,-,Tier3_1,chr6:62723289-62723308(-),2,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,1.127,chr6,62723289,62723308,-,Tier3_1
chr4,49709326,49709345,+,Tier3_2,chr4:49709326-49709345(+),6,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.379,chr4,49709326,49709345,+,Tier3_2
chr6,70563994,70564013,-,Tier3_3,chr6:70563994-70564013(-),3,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.329,chr6,70563994,70564013,-,Tier3_3
chr12,111518749,111518768,-,Tier3_4,chr12:111518749-111518768(-),6,ATXN2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.313,chr12,111518749,111518768,-,Tier3_4
chr12,111519174,111519194,-,Tier3_5,chr12:111519174-111519194(-),5,ATXN2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.173,chr12,111519174,111519194,-,Tier3_5
chr4,27591312,27591331,-,Tier3_6,chr4:27591312-27591331(-),4,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.155,chr4,27591312,27591331,-,Tier3_6
chr12,88184372,88184391,-,Tier3_7,chr12:88184372-88184391(-),3,TMTC3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.144,chr12,88184372,88184391,-,Tier3_7
chr12,29152440,29152459,-,Tier3_8,chr12:29152440-29152459(-),3,FAR2,Intron,NONE,Med.,3,3,OFF,UNCOVERseq,0.133,chr12,29152440,29152459,-,Tier3_8
chr4,49709780,49709799,+,Tier3_9,chr4:49709780-49709799(+),6,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.084,chr4,49709780,49709799,+,Tier3_9
